Packname,category,Subcategory,Packprice,Pic1,Pic2,Pic3,Detail
Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha - KDL Bà Nà - Cầu Vàng - Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4*),9, NDSGN3381-060-160522VU-V-7,"8,990,000",tfd_220222104816_347316.jpg,tfd_220222104946_086030.jpg,tfd_220222105119_645152.jpg, 
Bay cùng Vietravel Airlines | Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha & Thiên Đường - KDL Bà Nà - Cầu Vàng -Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4* trọn tour),11, NDSGN3398-050-200522VU-D-7,"9,990,000",tfd_220207045504_741226.jpg,tfd_220207045701_850172.jpg,tfd_220207045817_672509.jpg,"Điểm nhấn: - Phố cổ Hội An với lung linh sắc màu của đèn lồng và những hoạt động dân gian đặc sắc - Đại Nội Huế rộng lớn nơi hoàng cung xưa của các vua chúa Triều Nguyễn - Chùa Thiên Mụ - Biểu tượng xứ Huế mộng mơ. - Động Thiên Đường – Một trong những hang động kỳ vĩ nhất được Hiệp hội hang động Hoàng gia Anh đánh giá là hang động khô dài nhất Châu Á, thuộc quần thể Di sản thiên nhiên Thế Giới. - Động Phong Nha - Thuộc quần thể Di sản với hệ thống sông ngầm dài nhất Thế Giới"
Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha - Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4*),9, NDSGN3581-045-240522VU-V,"5,990,000",,,,
Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha - KDL Bà Nà - Cầu Vàng - Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4*),5, NDSGN3381-008-280522VU-V,"6,790,000",,,,
Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Thiên Đường - KDL Bà Nà - Cầu Vàng - Hội An - Mỹ Khê - Đà Nẵng (Khách sạn 4*),9, NDSGN3391-008-280522VU-V-1,"6,790,000",,,,
Bay cùng Vietravel Airlines | Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha & Thiên Đường - KDL Bà Nà - Cầu Vàng -Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4* trọn tour),3, NDSGN3398-017-290522VU-D,"6,990,000",,,,
Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha - KDL Bà Nà - Cầu Vàng - Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4*),9, NDSGN3381-053-310522VU-V,"6,790,000",tfd_220222104816_347316-001.jpg,tfd_220222104946_086030-001.jpg,tfd_220222105119_645152-001.jpg, 
Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Thiên Đường - KDL Bà Nà - Cầu Vàng - Hội An - Mỹ Khê - Đà Nẵng (Khách sạn 4*),9, NDSGN3391-053-310522VU-V-1,"6,790,000",tfd_220111040613_472003.jpg,tfd_220111040803_360987.jpg,tfd_220111040926_248489.jpg,#NAME?
Bay cùng Vietravel Airlines | Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha & Thiên Đường - KDL Bà Nà - Cầu Vàng -Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4* trọn tour),11, NDSGN3398-009-010622VU-D,"7,190,000",tfd_220207045504_741226-001.jpg,tfd_220207045701_850172-001.jpg,tfd_220207045817_672509-001.jpg,"Điểm nhấn: - Phố cổ Hội An với lung linh sắc màu của đèn lồng và những hoạt động dân gian đặc sắc - Đại Nội Huế rộng lớn nơi hoàng cung xưa của các vua chúa Triều Nguyễn - Chùa Thiên Mụ - Biểu tượng xứ Huế mộng mơ. - Động Thiên Đường – Một trong những hang động kỳ vĩ nhất được Hiệp hội hang động Hoàng gia Anh đánh giá là hang động khô dài nhất Châu Á, thuộc quần thể Di sản thiên nhiên Thế Giới. - Động Phong Nha - Thuộc quần thể Di sản với hệ thống sông ngầm dài nhất Thế Giới"
Đà Nẵng - Huế - Đầm Lập An - La Vang - Động Phong Nha - KDL Bà Nà - Cầu Vàng - Sơn Trà - Hội An - Đà Nẵng (Khách sạn 4*),9, NDSGN3381-009-030622VU-V,"6,790,000",,,,
