"Packname","Category","Subcategory","Packprice","Pic1","Pic2","Pic3","Detail"
"Long Xuyên - Hà Tiên - Phú Quốc - Ngắm Hoàng Hôn Tại Sunset Sanato - Bãi Sao - 4 Sao","8"," NDAGN1063-007-140522TAU-D","4,190,000","tfd_201228114419_708825-001.jpg","tfd_201005091826_629235-001.jpg","tfd_201228114439_451173-001.jpg","Ngày 1 - LONG XUYÊN – HÀ TIÊN – PHÚ QUỐC - SUNSET SANATO BEACH CLUB (Ăn ba bữa) Xe đưa  Quý khách tham quan:  - Dinh Cậu - biểu tượng văn hoá và tín ngưỡng của đảo Phú Quốc, là nơi cầu may mắn, cầu an lành và là nơi ngư dân địa phương gởi gắm niềm tin cho một chuyến ra khơi đánh bắt đầy ắp cá khi trở về.  - Viếng Dinh Bà Thủy Long Thánh Mẫu là nơi thờ Thần Nữ Kim Giao, người phụ nữ được người dân Phú Quốc rất mực tôn kính vì có công khai phá huyện đảo này.  - Chùa Sư Muôn (Hùng Long Tự) - để cầu nguyện sự an lành và hạnh phúc đến với gia đình.  - Làng Chài Hàm Ninh nằm phía Đông Đảo tại đây Quý khách được hướng dẫn viên giới thiệu về cuộc sống của người dân xứ đảo với nghề đánh bắt hải sản.  - Tham quan Sunset Sanato Beach Club sở hữu vị thế đắc địa nhất, khu vui chơi nằm ngay trung tâm của Bãi Trường. Nơi đây, sóng biển dịu êm như một dòng sông, bạn sẽ thấy mình được hưởng trọn vẹn hương vị mặn mòi của biển và mát lành của những hoang sơ còn vương vấn, đến đây du khách sẽ được thưởng ngoạn phong cảnh biển tuyệt đẹp, những góc ảnh check-in cực chất, tự do tắm biển, hòa nhịp trong những bản nhạc sôi động.  Nghỉ đêm tại Phú Quốc.    Ngày 2 - DƯƠNG ĐÔNG - BÃI SAO (Ăn sáng, trưa, tự túc ăn chiều) Xe đưa Quý khách đến tham quan tắm biển Bãi Sao nằm ở phía Nam Đảo - một bãi biển dịu êm, bãi cát dài tĩnh lặng và nguyên sơ nơi đảo xanh. Tại đây Quý khách sẽ thật sự cảm thấy yên bình, thư thái và dường như cuộc sống chậm lại khi hòa mình cùng thiên nhiên.    Ăn trưa, về lại khách sạn tự do nghỉ ngơi. Trên đường về, Quý khách Tham quan Vườn Tiêu, Nhà Thùng làm nước mắm, Cơ Sở nuôi cấy Ngọc Trai. Buổi chiều, Quý khách tự do tham quan (chi phí tự túc) Công Viên Chủ Đề VINWONDERS PHÚ QUỐC - Du khách sẽ lạc vào “Thế Giới Cổ Tích” thông qua những trò chơi tương tác lần đầu tiên xuất hiện tại Việt Nam được thiết kế dựa trên những câu chuyện cổ tích nổi tiếng trên Thế giới và Việt Nam. VINWONDERS còn chiêu đãi cho du khách những tiết mục nghệ thuật vô cùng đặc sắc như “Vũ Điệu Hawaii” trầm hùng, ma mị - Thể hiện nghi thức tế lễ của người Hawaii tại công viên nước; “Trống Trận Viking” hào hùng - toát lên tinh thần mạnh mẽ của người Viking; và không thể bỏ qua“Vũ Điệu Maya” đầy kịch tính tại khu cảm giác mạnh - Tái hiện màn săn bắn của nhóm người bộ tộc Maya; “Show Tương Tác Cùng Nhân Vật Vận Hành” sôi nổi, hài hước - Sử dụng dụng cụ lao động làm đạo cụ, theo slogan “Mỗi người lao động là một nghệ sĩ”. VINWONDERS còn được mệnh danh là công viên của những trải nghiệm lần đầu tiên tại Việt Nam: -    Thế Giới Diệu Kỳ - Một thế giới cổ tích 5 Châu đầy màu sắc diệu kỳ với các trò chơi tương tác nằm trong những xu hướng mới nhất trên thế giới: Alice lạc vào xứ thần tiên, Sải cánh đại bàng; Cuộc chiến chằn tinh -    Khu Làng Bí Mật - Du khách sẽ lênh đênh trên dòng sông khám phá những bí mật ẩn chứa trong các ngôi làng Viking hay thử sức với các trò leo trèo mạo hiểm len lỏi trong rừng cây, cây cầu dây treo và các đường zipline xuyên rừng (56 thử thách vận động – 3 cấp độ & zipline xuyên rừng với độ cao 10 mét phù hợp với nhiều lứa tuổi). -    Khám Phá Thế Giới Phiêu Lưu thông qua các trò chơi: Đôi cánh Icarus, Ma thuật Xibalba, Vũ điệu báo đốm, Cơn thịnh nộ của Zues. -    Khu Thế Giới Lốc Xoáy: được thiết kế theo vùng đất Hawaii đầy màu sắc cùng các đường trượt khủng lần đầu có mặt tại Việt Nam như Trò chơi khủng Cú Rơi Thần Tốc, Dũng Sĩ Tia, Sóng Thần Oahu - Bể tạo sóng khổng lồ với cát trắng và nắng vàng Hay trải nghiệm tại Vườn Thú Hoang Dã đầu tiên tại Việt Nam với quy mô 180ha, hơn 130 loài động vật quý hiếm và các chương trình Biểu diễn động vật, Chụp ảnh với động vật, Khám phá và trải nghiệm Vườn thú mở trong rừng tự nhiên, gần gũi và thân thiện với con người.  Quý khách tự túc ăn tối. Nghỉ đêm tại khách sạn.   Ngày 3 - PHÚ QUỐC – HÀ TIÊN - LONG XUYÊN (Ăn sáng, trưa)  Quý khách tự do tắm biển nghỉ ngơi tại khách sạn cho đến giờ làm thủ tục trả phòng. Xe đưa Quý khách ra bến tàu làm thủ tục lên tàu cao tốc về Hà Tiên. Tại Hà Tiên xe đón Quý khách và đưa về Long Xuyên. Hướng dẫn viên tiễn Quý khách về điểm hẹn ban đầu. Kết thúc chuyến tham quan và hẹn gặp lại  Lưu ý:   ✓ Đảm bảo nguyên tắc 5K, khử khuẩn. ✓ Vận chuyển không quá 50% số ghế, không quá 20 khách/1 xe (bao gồm cả tài xế), tuân thủ ngồi giãn cách trên xe và đeo khẩu trang suốt quá trình di chuyển. ✓ Thẻ xanh covid (khách đã tiêm vaccine ngừa covid đủ liều, thời gian hoàn tất mũi 2 trước 14 ngày và không quá 12 tháng), khách là FO đã khỏi bệnh (có giấy chứng nhận của Sở Y Tế và không quá 06 tháng). ✓ Xét nghiệm covid theo yêu cầu của từng tỉnh vào thời điểm đặt dịch vụ. Vui lòng liên hệ với nhân viên tư vấn để biết thêm chi tiết. Lưu ý: Việc điều chỉnh yêu cầu xét nghiệm covid và mũi tiêm có thể sẽ thay đổi theo quy định hiện hành của Cơ quan Quản lý Nhà nước có thẩm quyền. Vui lòng liên hệ nhân viên tư vấn để biết thêm chi tiết."
"Long Xuyên - Hà Tiên - Phú Quốc – Dinh Cậu – Thiền Viện Trúc Lâm Hộ Quốc - Hòn Thơm Nature Park - Công Viên Nước Aquatopia* Resort 3 Sao*","8"," NDAGN1064-005-200522PHA-D","4,490,000","tfd_220215115607_734710-002.jpg","tfd_220215114450_674811-002.jpg","tfd_220215114620_931115-002.jpg","Ngày 1 - LONG XUYÊN - HÀ TIÊN - PHÚ QUỐC - SUNSET SANATO (Ăn ba bữa) Xe đón Quý Khách ở điểm hẹn (Quý Khách tập trung tại Vietravel chi nhánh Long Xuyên, địa chỉ: số 01 Lý Tự Trọng, Mỹ Long, Long Xuyên, An Giang), khởi hành đến Hà Tiên làm thủ tục xuống phà/ tàu qua Phú Quốc.  Xe đưa  Quý khách tham quan:  - Dinh Cậu: biểu tượng văn hoá và tín ngưỡng của đảo Phú Quốc. Nơi ngư dân địa phương gởi gắm niềm tin cho một chuyến ra khơi đánh bắt đầy ắp cá khi trở về. Đoàn viếng dinh Bà Thủy Long Thánh Mẫu - thờ Thần Nữ Kim Giao, người phụ nữ được người dân Phú Quốc rất mực tôn kính vì có công khai phá huyện đảo này. - Chùa Sư Muôn (Hùng Long Tự): ngôi chùa có kiến trúc dân gian, nằm trên triền núi, mặt hướng ra biển, xung quanh cây cối xanh tốt. Đến đây du khách cảm nhận vẻ đẹp thanh tịnh, bình yên và cầu nguyện sự an lành và hạnh phúc đến với gia đình.  - Tham quan Sunset Sanato Beach Club: du khách đắm chìm trong những bản nhạc sôi động, những góc ảnh check-in cực chất và thưởng ngoạn phong cảnh tuyệt đẹp hòa cùng ánh hoàng hôn rực rỡ đang dần dần buông xuống mặt biển..  - Dạo chợ đêm Phú Quốc thưởng thức hải sản (chi phí tự túc). Nghỉ đêm tại Phú Quốc. Ngày 2 - PHÚ QUỐC - HÒN THƠM - TRẢI NGHIỆM CÁP TREO VƯỢT BIỂN (Ăn 3 bữa) Sau khi ăn sáng, xe đưa đoàn đến nhà ga cáp treo An Thới đi Sun World Hon Thom Nature Park với những trải nghiệm thú vị: - Trải nghiệm cáp treo 3 dây vượt biển dài nhất thế giới - 7.899.9m: với góc nhìn 360 độ ngang qua hòn Rơi, hòn Dừa và dừng chân tại hòn Thơm. Chỉ khoảng 15 phút trên cáp treo, Quý khách sẽ những khoảnh khắc tuyệt vời với bức tranh biển trời tại Nam đảo Phú Quốc. - Vui chơi tại một trong những bãi biển “quyến rũ nhất hành tinh” hòn Thơm với bãi cát trắng mịn, hoang sơ, hàng dừa nghiêng soi bóng, màu nước biển xanh màu ngọc bích, phản chiếu long lanh dưới ánh nắng mặt trời.  - Thử thách với các hoạt động giải trí trên biển: kayak, jetki, dù lượn, phao chuối (chi phí tự túc). - Vui chơi tại công viên nước Aquatopia: một trong những công viên nước chủ đề hàng đầu Đông Nam Á, trải nghiệm 6 khu check-in chủ đề hấp dẫn mang phong cách thổ dân huyền bí. Xe đưa Quý khách tham quan và mua sắm đặc sản nổi tiếng tại vườn tiêu Đức Thạnh, nhà thùng nước mắm Hồng Đức 1, đặc sản khô, cơ sở sản xuất ngọc trai Phú Quốc - trưng bày các trang sức bằng ngọc trai chính hiệu được nuôi cấy tại Phú Quốc. Nghỉ đêm tại Phú Quốc. Ngày 3 - PHÚ QUỐC - BÃI SAO - HÀ TIÊN - LONG XUYÊN (Ăn sáng, trưa) Quý khách dùng bữa sáng, xe đưa Quý khách đến tham quan tắm biển bãi Sao nằm ở phía Nam đảo - một bãi biển dịu êm, bãi cát dài tĩnh lặng và nguyên sơ nơi đảo xanh. Tại đây Quý khách sẽ thật sự cảm thấy yên bình, thư thái và dường như cuộc sống chậm lại khi hòa mình cùng thiên nhiên..  Sau đó, xe đưa đoàn ra bến tàu làm thủ tục lên phà/tàu về Hà Tiên. Đến Hà Tiên xe đưa Quý Khách về Long Xuyên. Hướng dẫn viên tiễn Quý khách về điểm hẹn ban đầu. Kết thúc chuyến tham quan và hẹn gặp lại   Điều kiện nhận khách - Đảm bảo nguyên tắc 5K, khử khuẩn và đeo khẩu trang trong suốt quá trình di chuyển. - Khách đã hoàn thành tiêm 2 mũi vaccine và có giấy xác nhận tiêm chủng (mũi thứ 2 từ 14 ngày trở lên và không quá 12 tháng) hoặc F0 đã khỏi bệnh COVID-19 trong vòng 6 tháng có giấy xác nhận của bệnh viên tính đến thời điểm đi du lịch.   Thông tin cần lưu ý - Khi đăng ký tour Quý khách vui lòng cung cấp tên chính xác, đầy đủ, đúng từng ký tự trên CMND/ Passport (Hộ chiếu)/ Giấy khai sinh (trẻ em dưới 14 tuổi). Trẻ em từ 14 tuổi trở lên phải có CMND hoặc Passport (hộ chiếu).  - Quý khách đi tour cần đem theo CMND bản chính (còn hạn 15 năm kể từ ngày cấp đến ngày kết thúc tour)/ Passport (Hộ chiếu)/ Giấy khai sinh bản chính (trẻ em). Trẻ em không đi cùng cha mẹ phải có giấy cam kết (hoặc giấy chứng thuận) của cha hoặc mẹ có xác nhận của chính quyền địa phương cho người dẫn trẻ em đi. Riêng khách Việt Kiều phải mang theo đầy đủ Passport (Hộ Chiếu) hoặc thẻ xanh kèm theo Visa và giấy tái xuất nhập Việt Nam.  - Chương trình và điểm tham quan có thể linh động thay đổi theo điều kiện thời tiết thực tế. Giờ nhận phòng khách sạn: sau 14:00 giờ và trả phòng trước 12:00 giờ.  - Khách hàng có nhu cầu cần xuất hóa đơn xin vui lòng cung cấp đầy đủ thông tin cho nhân viên bán tour ngay lúc đăng ký chuyến du lịch. Vietravel không chịu trách nhiệm xuất hóa đơn sau khi tour kết thúc. Lưu ý: Việc điều chỉnh yêu cầu xét nghiệm covid và mũi tiêm có thể sẽ thay đổi theo quy định hiện hành của Cơ quan Quản lý Nhà nước có thẩm quyền. Vui lòng liên hệ nhân viên tư vấn để biết thêm chi tiết."
"Long Xuyên - Hà Tiên - Phú Quốc - Ngắm Hoàng Hôn Tại Sunset Sanato - Bãi Sao - 4 Sao","8"," NDAGN1063-008-280522TAU-D","4,190,000","","","",""
"Bay cùng Vietravel Airlines| Phú Quốc - Ngắm Hoàng Hôn Tại Sunset Sanato - Bãi Sao (Khách Sạn 3 Sao) - Ngày hội Du lịch Tp.HCM",""," NDSGN876-082-160522VU-H","3,290,000","","","",""
"Bay cùng Vietravel Airlines| Phú Quốc - Ngắm Hoàng Hôn Tại Sunset Sanato - Bãi Sao (Khách Sạn 3 Sao)","2"," NDSGN876-058-180522VU-H","4,090,000","tfd_211103041523_864286-002.jpg","tfd_211103041623_634955-002.jpg","tfd_211103041651_833323-002.jpg","Ngày 1 - TP. HỒ CHÍ MINH - PHÚ QUỐC - SUNSET SANATO BEACH CLUB (Ăn tối) Quý khách tập trung tại Sân bay Tân Sơn Nhất, ga đi trong nước. Hướng dẫn viên làm thủ tục cho Quý khách đáp chuyến bay đi Phú Quốc. Xe đón đoàn tại sân bay đưa Quý khách tham quan dinh Cậu - biểu tượng văn hoá và tín ngưỡng của đảo Phú Quốc, là nơi cầu may mắn, cầu an lành và là nơi ngư dân địa phương gởi gắm niềm tin cho một chuyến ra khơi đánh bắt đầy ắp cá khi trở về. Sau đó, đoàn viếng dinh Bà Thủy Long Thánh Mẫu - nơi thờ Thần Nữ Kim Giao, người phụ nữ được người dân Phú Quốc rất mực tôn kính vì có công khai phá huyện đảo này. Sau đó nhận phòng khách sạn nghỉ ngơi. Buổi chiều, tham quan Sunset Sanato Beach Club: du khách hòa cùng những bản nhạc sôi động, những góc ảnh check-in cực chất và thưởng ngoạn phong cảnh tuyệt đẹp hòa cùng ánh hoàng hôn rực rỡ đang dần dần buông xuống mặt biển bao la Nghỉ đêm tại Phú Quốc.   Ngày 2 - DƯƠNG ĐÔNG - BÃI SAO (Ăn sáng, trưa - Bữa tối tự túc) Xe đưa Quý khách đến tham quan tắm biển Bãi Sao nằm ở phía Nam đảo - một bãi biển dịu êm, bãi cát dài tĩnh lặng và nguyên sơ nơi đảo xanh. Tại đây Quý khách sẽ thật sự cảm thấy yên bình, thư thái và dường như cuộc sống chậm lại khi hòa mình cùng thiên nhiên.  Sau khi ăn trưa, đoàn tham quan Thiền Viện Trúc Lâm Hộ Quốc - ngôi chùa đẹp và lớn nhất đảo ngọc với khung cảnh hoang sơ, yên tĩnh đã tạo nên một bức tranh thiên nhiên đặc sắc đầy vẻ tôn nghiêm và thanh tịnh. Buổi chiều, Quý khách tự do tham quan, một số điểm gợi ý: - Khu vui chơi giải trí VinWonders - du khách sẽ lạc vào “Thế Giới Cổ Tích” thông qua những trò chơi tương tác lần đầu tiên xuất hiện tại Việt Nam với 6 chủ đề khác nhau: Khu Cảm Giác Mạnh - Thế Giới Phiêu Lưu; Khu Công Viên Nước - Thế Giới Lốc Xoáy; Khu Lâu Đài Trung Tâm - Châu Âu Trung Cổ; Khu Cổ Tích - Thế Giới Diệu Kỳ; Khu Viking - Ngôi Làng Bí Mật. - Grand World tham quan công trình tre, công viên nghệ thuật đương đại thuộc Open Park…; tản bộ bên dòng “kênh đào Venice” và nhìn ngắm những chiếc thuyền Gondola, khu phố shophouse lộng lẫy sắc màu, cổng lâu đài tráng lệ, ba cây cầu vòm bán nguyệt... - Dạo chợ đêm Phú Quốc thưởng thức hải sản (chi phí tự túc). Nghỉ đêm tại Phú Quốc. Ngày 3 - PHÚ QUỐC - TP.HCM (Ăn sáng, trưa) Đoàn trả phòng khách sạn. Sau đó, xe đưa Quý khách ra sân bay Phú Quốc đáp chuyến bay trở về TP.HCM. Trên đường đi, Quý khách tham quan vườn tiêu; nhà thùng làm nước mắm; cơ sở nuôi cấy ngọc trai. Chia tay Quý khách và kết thúc chương trình du lịch tại sân bay Tân Sơn Nhất.   Điều kiện nhận khách: - Tất cả các khách đều phải khai báo y tế (mục khai di chuyển nội địa) trên ứng dụng PC-Covid, việc khai hộ chỉ áp dụng cho khách đi chung chuyến bay. - Nhận khách địa phương/ ngoại tỉnh từ địa phương nguy cơ thấp và trung bình (xanh và vàng) - Đảm bảo nguyên tắc 5K, khử khuẩn. - Quý khách đã hoàn thành tiêm 2 mũi vaccine ngừa Covid-19 và có thẻ xanh hoặc giấy xác nhận tiêm chủng (mũi thứ 2 đủ 14 ngày so với ngày khởi hành) hoặc Quý khách đã khỏi bệnh có giấy xác nhận trong vòng 6 tháng.   Quý khách lưu ý - Giờ bay phụ thuộc vào hãng hàng không, số bữa ăn phụ thuộc vào giờ bay - Nếu chuyến bay ngày thứ 3 trong chương trình về chuyến buổi sáng thì bữa ăn trưa ngày thứ 3 sẽ được chuyển sang ngày thứ 1.  - Đây là chương trình du lịch trọn gói, Vietravel không có trách nhiệm hoàn trả chi phí chênh lệch cho các khách hàng thuộc diện miễn giảm hoặc đối tượng ưu tiên như trẻ nhỏ, người lớn tuổi, người có công với cách mạng… Chính sách miễn giảm, ưu tiên (nếu có) chỉ dành cho khách lẻ của các điểm tham quan. Lưu ý: Việc điều chỉnh yêu cầu xét nghiệm covid và mũi tiêm có thể sẽ thay đổi theo quy định hiện hành của Cơ quan Quản lý Nhà nước có thẩm quyền. Vui lòng liên hệ nhân viên tư vấn để biết thêm chi tiết."
"Phú Quốc - Hòn Thơm Nature Park - Cáp Treo Vượt Biển - Công Viên Nước Aquatopia - Nghỉ dưỡng khách sạn 5 sao Best Western","1"," NDSGN855-057-190522VU-D","5,990,000","","","",""
"Thỏa Thích vui chơi tại Vinwonder & Safari World - Nghỉ dưỡng VinHoliday Phú Quốc","4"," NDSGN801-087-200522VJ-V","6,590,000","","","",""
"Bay cùng Vietravel Airlines | Phú Quốc - Vinpearl Oasis Resort - Thỏa Thích Vui Chơi Tại Vinwonders & Safari","6"," NDSGN809-023-200522VU-D","7,990,000","tfd_220331115738_557641-002.jpg","tfd_220331115821_555831-002.jpg","tfd_220331115914_814525-002.jpg","Ngày 1 - TP.HCM - PHÚ QUỐC - VINOASIS - GRAND WORLD (Ăn 1 bữa: tối) Quý khách tập trung tại sân bay Tân Sơn Nhất, ga đi Trong Nước. Hướng dẫn viên làm thủ tục cho Quý khách đáp chuyến bay đi Phú Quốc. Xe đón đoàn tại sân bay di chuyển về nhận phòng tại Khu nghỉ dưỡng cao cấp VinOasis Phú Quốc. Sau khi nhận phòng, Quý khách có thể tự do khám phá một số hạng mục tại khu Grand World như: công trình tre, công viên nghệ thuật đương đại thuộc Open Park…; tản bộ bên dòng “kênh đào Venice” và nhìn ngắm những chiếc thuyền Gondola, cổng lâu đài tráng lệ, ba cây cầu vòm bán nguyệt... Đoàn dùng bữa tối, nghỉ ngơi tại Phú Quốc.   "
"Bay cùng Vietravel Airlines | Thỏa Thích vui chơi tại Vinwonder & Safari World - Nghỉ dưỡng resort 5 sao Radisson Blu Phú Quốc","6"," NDSGN802-031-210522VU-D","6,990,000","tfd_220119054208_569879.jpg","tfd_220119054236_553773.jpeg","tfd_220119053021_295711.jpg","Ngày 1 - TP.HCM - PHÚ QUỐC - GRAND WORLD (Ăn chiều) Quý khách tập trung tại Sân bay Tân Sơn Nhất, ga đi trong nước. Hướng dẫn viên làm thủ tục cho Quý khách chuyến bay chiều phút đi Phú Quốc. Xe đón đoàn tại sân bay đưa về khách sạn nhận phòng tại Resort 5 sao Radisson Blu. Buổi tối, Quý khách có thể tự do khám phá một số hạng mục nổi bật tại khu Grand World như: công trình tre, công viên nghệ thuật đương đại thuộc Open Park…; tản bộ bên dòng “kênh đào Venice” và nhìn ngắm những chiếc thuyền Gondola, khu phố shophouse lộng lẫy sắc màu, cổng lâu đài tráng lệ, ba cây cầu vòm bán nguyệt...; Thưởng thức bữa tiệc ánh sáng đỉnh cao với show “Sắc màu Venice” (show diễn có thể thay đổi tùy theo tình hình thực tế) Nghỉ đêm tại Radison Blu. Ngày 2 - VƯỜN THÚ BÁN HOANG DÃ VINPEARL SAFARI - VUI CHƠI THỎA THÍCH TẠI CÔNG VIÊN CHỦ ĐỀ VINWONDERS PHÚ QUỐC (Ăn sáng, trưa, chiều) Sau khi dùng bữa sáng tại Radison Blu, Quý khách sẽ đến khám phá Vinpearl Safari Phú Quốc - Vườn thú hoang dã đầu tiên tại Việt Nam: với quy mô 180 ha, hơn 130 loài động vật quý hiếm, du khách thưởng thức các chương trình biểu diễn, chụp ảnh với động vật; trải nghiệm vườn thú mở trong rừng tự nhiên, gần gũi và thân thiện với con người. Buổi chiều, Quý khách tham quan Khu vui chơi giải trí VinWonders - du khách sẽ lạc vào “Thế Giới Cổ Tích” thông qua những trò chơi tương tác lần đầu tiên xuất hiện tại Việt Nam với 6 chủ đề khác nhau: Khu Cảm Giác Mạnh - Thế Giới Phiêu Lưu; Khu Công Viên Nước - Thế Giới Lốc Xoáy; Khu Lâu Đài Trung Tâm - Châu Âu Trung Cổ; Khu Cổ Tích - Thế Giới Diệu Kỳ; Khu Viking - Ngôi Làng Bí Mật. Nghỉ đêm tại Radison Blu. Ngày 3 - PHÚ QUỐC - TP.HCM (Ăn sáng, trưa) Sau khi dùng bữa sáng tại Radison Blu, Quý khách trả phòng và khởi hành tham quan: - Dinh Cậu: biểu tượng văn hoá và tín ngưỡng của đảo Phú Quốc. Nơi ngư dân địa phương gởi gắm niềm tin cho một chuyến ra khơi đánh bắt đầy ắp cá khi trở về. Sau đó, đoàn viếng Dinh Bà Thủy Long Thánh Mẫu - thờ Thần Nữ Kim Giao, người phụ nữ được người dân Phú Quốc rất mực tôn kính vì có công khai phá huyện đảo này. - Tham quan và mua sắm đặc sản nổi tiếng tại vườn Tiêu; nhà thùng nước mắm; đặc sản khô; cơ sở sản xuất ngọc trai Phú Quốc - trưng bày các trang sức bằng ngọc trai chính hiệu được nuôi cấy tại Phú Quốc.  Sau khi tham quan, xe đưa Quý khách đi ăn trưa và ra sân bay Phú Quốc đáp chuyến bay trở về TP.HCM. Chia tay Quý khách và kết thúc chương trình du lịch tại sân bay Tân Sơn Nhất.   ""******************** Quý khách lưu ý - Giờ bay phụ thuộc vào hãng hàng không, số bữa ăn phụ thuộc vào giờ bay - Nếu chuyến bay ngày thứ 3 trong chương trình về chuyến buổi sáng thì bữa ăn trưa ngày thứ 3 sẽ được chuyển sang ngày thứ 1.  - Đây là chương trình du lịch trọn gói, Vietravel không có trách nhiệm hoàn trả chi phí chênh lệch cho các khách hàng thuộc diện miễn giảm hoặc đối tượng ưu tiên như trẻ nhỏ, người lớn tuổi, người có công với cách mạng… Chính sách miễn giảm, ưu tiên (nếu có) chỉ dành cho khách lẻ của các điểm tham quan. Lưu ý: Việc điều chỉnh yêu cầu xét nghiệm covid và mũi tiêm có thể sẽ thay đổi theo quy định hiện hành của Cơ quan Quản lý Nhà nước có thẩm quyền. Vui lòng liên hệ nhân viên tư vấn để biết thêm chi tiết."
"Bay cùng Vietravel Airlines | Phú Quốc - Vinpearl Oasis Resort - Thỏa Thích Vui Chơi Tại Vinwonders & Safari","6"," NDSGN809-036-220522VU-D-7","7,990,000","","","",""
